Pipeline,Compound,MOLECULE,SMILES,Fingerprint similarity of the most similar DEL PTE to the given compound,Average fingerprint similarity of the top 10 most similar DEL PTEs to the given compound,HPLC-UV (at 280 nM),KD_microM,KD_2_microM,% Rmax,% Rmax_2,SPR sensorgram,DSF_delta_Tm_?C,Comment,Stereochemistry,Catalog_Number,ChemiReg_ID
Primary predictions,154,Cc1ccc(CN2CCC(C2)CN(C)C2CC2)s1,Cc1ccc(CN2CCC(C2)CN(C)C2CC2)s1,0.48,0.38,,0,0,,,,not tested,,racemate,Z4265702894,MR45327
Primary predictions,155,C1CC1N1CCC2(CCN(Cc3ccccc3)C2)C1,C1CC1N1CCC2(CCN(Cc3ccccc3)C2)C1,0.35,0.32,,0,0,,,,not tested,,racemate,Z4265950420,MR45337
Primary predictions,156,CC(C)(C)OC(N1CCCC1C1CCN(C1)C1CC1)=O,CC(C)(C)OC(N1CCCC1C1CCN(C1)C1CC1)=O,0.31,0.28,,0,0,,,,not tested,,racemate,Z4268743041,MR45334
Primary predictions,157,Cc1cc(c(cc1C(N[C@H]1CC(N(C)[C@@H]1c1ccc(cc1)[Cl])=O)=O)O)O,Cc1cc(c(cc1C(N[C@H]1CC(N(C)[C@@H]1c1ccc(cc1)[Cl])=O)=O)O)O,0.28,0.27,,0,0,,,,not tested,,chiral,Z4294387454,MR45330
Primary predictions,158,CCCC(C(N(C)C)=O)NC(c1cc(c(cc1C)O)O)=O,CCCC(C(N(C)C)=O)NC(c1cc(c(cc1C)O)O)=O,0.41,0.35,,0,0,,,,not tested,,racemate,Z4295831506,MR45321
Primary predictions,159,Cc1cccc(C#CCN2C[C@@H]3C[C@H]2CN3C2CC2)c1,Cc1cccc(C#CCN2C[C@@H]3C[C@H]2CN3C2CC2)c1,0.24,0.24,,0,0,,,,not tested,,chiral,Z4314882867,MR45294
Primary predictions,160,CN1CC(C1)N(C)C(CCc1ccc2cc(c(cc2c1)O)O)=O,CN1CC(C1)N(C)C(CCc1ccc2cc(c(cc2c1)O)O)=O,0.65,0.37,,0,0,,,,not tested,,,Z4325243054,MR45336
Primary predictions,161,C1CCC2(C1)CC(c1ccccc1O2)N(Cc1cccc(C#N)c1)C=O,C1CCC2(C1)CC(c1ccccc1O2)N(Cc1cccc(C#N)c1)C=O,0.7,0.52,,0,0,,,,not tested,,racemate,Z4355077279,MR45284
Primary predictions,162,CN1CCOC(C1)C(c1ccc(cc1)[Cl])NC(c1cncc2cnccc12)=O,CN1CCOC(C1)C(c1ccc(cc1)[Cl])NC(c1cncc2cnccc12)=O,0.34,0.29,,0,0,,,,not tested,,racemate,Z4382778396,MR45276
Primary predictions,163,Cc1ccc(cc1c1cccc(c1)N1CCCC1)C(N(C)C)=O,Cc1ccc(cc1c1cccc(c1)N1CCCC1)C(N(C)C)=O,1,0.67,,0,0,,,,not tested,,,Z4414837755,MR45315
Primary predictions,164,CC1CN(CC1NC(CCCCc1c[nH]c2ccccc12)=O)C1CC1,CC1CN(CC1NC(CCCCc1c[nH]c2ccccc12)=O)C1CC1,0.4,0.38,,0,0,,,,not tested,,racemate,Z4503477380,MR45292
Primary predictions,165,C[C@H]1CN(C)[C@H](C)CN1S(c1ccc2c(c1)scn2)(=O)=O,C[C@H]1CN(C)[C@H](C)CN1S(c1ccc2c(c1)scn2)(=O)=O,1,0.39,,0,0,,,,not tested,,chiral,Z4664513955,MR45304
Primary predictions,166,CN(Cc1ccccc1OCc1ccccc1F)C1CCN(C1)C1CC1,CN(Cc1ccccc1OCc1ccccc1F)C1CCN(C1)C1CC1,0.44,0.43,,0,0,,,,not tested,,racemate,Z5419392715,MR45303
Primary predictions,167,CC1CC(C(NC(c2ccc(cc2)OC)c2ccc(cc2)[Cl])=O)ON=1,CC1CC(C(NC(c2ccc(cc2)OC)c2ccc(cc2)[Cl])=O)ON=1,0.43,0.36,,0,0,,,,not tested,,racemate,Z5419392722,MR45275
Primary predictions,168,CN(CCc1ccccc1F)C(c1cnc2n1ccs2)=O,CN(CCc1ccccc1F)C(c1cnc2n1ccs2)=O,0.57,0.53,,0,0,,,,not tested,,,Z5419392740,MR45268
Primary predictions,169,COC(c1cccc(c1)c1cccc(c1)NC1CCN(C1)C1CC1)=O,COC(c1cccc(c1)c1cccc(c1)NC1CCN(C1)C1CC1)=O,0.38,0.37,,0,0,,,,not tested,,racemate,Z5419392751,MR45314
Primary predictions,170,Cc1cc(ccc1F)N1CCC(C1)COC(C1COc2ccccc12)=O,Cc1cc(ccc1F)N1CCC(C1)COC(C1COc2ccccc12)=O,0.45,0.32,,0,0,,,,not tested,,racemate,Z5419392814,MR45298
Primary predictions,171,C1c2ccccc2CC1(C(N)=O)NC(c1ccc2cccnc2c1)=O,C1c2ccccc2CC1(C(N)=O)NC(c1ccc2cccnc2c1)=O,0.73,0.48,,0,0,,,,not tested,,,Z5419392820,MR45265
Primary predictions,172,C1C(CO1)(c1ccc(cc1)F)NC(c1ccc2cnccc2c1)=O,C1C(CO1)(c1ccc(cc1)F)NC(c1ccc2cnccc2c1)=O,0.37,0.34,,0,0,,,,not tested,,,Z5419392827,MR45267
Primary predictions,173,CN(Cc1ccccc1n1cccc1)C(C1CCCN1C1CC1)=O,CN(Cc1ccccc1n1cccc1)C(C1CCCN1C1CC1)=O,0.53,0.46,,0,0,,,,not tested,,racemate,Z5419392830,MR45309
Primary predictions,174,C(C(C(c1ccc(cc1)[Cl])O)NC(c1ccc2ccncc2c1)=O)O,C(C(C(c1ccc(cc1)[Cl])O)NC(c1ccc2ccncc2c1)=O)O,0.58,0.51,,0,0,,,,not tested,,racemate,Z5419392833,MR45273
Primary predictions,175,Cc1cc(nc(n1)N(C)C1CCN(C1)C1CC1)OCc1ccccc1,Cc1cc(nc(n1)N(C)C1CCN(C1)C1CC1)OCc1ccccc1,0.37,0.33,,0,0,,,,not tested,,racemate,Z5419392853,MR45325
Primary predictions,176,C1CC1CC(c1ccc(cc1)[Cl])NC(Cc1ccc(c(c1)O)O)=O,C1CC1CC(c1ccc(cc1)[Cl])NC(Cc1ccc(c(c1)O)O)=O,0.62,0.47,,0,0,,,,not tested,,racemate,Z5419392860,MR45306
Primary predictions,177,CC1(C)CN(C(c2c(c(ns2)O)[Cl])=O)c2ccc(cc12)[Cl],CC1(C)CN(C(c2c(c(ns2)O)[Cl])=O)c2ccc(cc12)[Cl],0.24,0.23,,0,0,,,,not tested,,,Z5419392864,MR45317
Primary predictions,178,CC1CC(CN1C1CC1)NCC1CCCCCC1,CC1CC(CN1C1CC1)NCC1CCCCCC1,0.2,0.19,,0,0,,,,not tested,,racemate,Z5489575965,MR45339
Primary predictions,179,CC1CN(CC1NC1CCN(CC1)C1CC1)C1CC1,CC1CN(CC1NC1CCN(CC1)C1CC1)C1CC1,0.22,0.2,,0,0,,,,not tested,,racemate,Z5532809105,MR45338
SAR-by-ML,180,C1CN(CC1CNC(CNC(c1ccc(cc1)O)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(CNC(c1ccc(cc1)O)=O)=O)c1ccc(cc1)[Cl],0.41,0.39,,0,0,,,,not tested,,racemate,Z1072029824,DR01951
SAR-by-ML,181,C1CN(CC1CNC(NCC1(CC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,C1CN(CC1CNC(NCC1(CC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,0.47,0.42,,0,0,,,,not tested,,racemate,Z1094135474,DR02008
SAR-by-ML,182,C1CN(CC1CNC(NC1(CC1)c1ccc(cc1)F)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(NC1(CC1)c1ccc(cc1)F)=O)c1ccc(cc1)[Cl],0.43,0.39,,0,0,,,,not tested,,racemate,Z1132952164,DR02005
SAR-by-ML,183,C1CN(CC1CNC(c1ccc(CN2CCOCC2)cc1)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(CN2CCOCC2)cc1)=O)c1ccc(cc1)[Cl],0.47,0.4,,0,0,,,,not tested,,racemate,Z1174227875,DR01983
SAR-by-ML,184,C1CN(CC1CNC(NC1(CC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,C1CN(CC1CNC(NC1(CC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,0.47,0.42,,0,0,,,,not tested,,racemate,Z1184558850,DR02015
SAR-by-ML,185,Cc1ccc(cc1)N1CCC(C1)NC(c1ccc(cc1)[Cl])=O,Cc1ccc(cc1)N1CCC(C1)NC(c1ccc(cc1)[Cl])=O,0.37,0.33,,0,0,,,,not tested,,racemate,Z1210179204,DR01953
SAR-by-ML,186,C1CN(CC1CNC(c1ccc(cc1)C(NC1CC1)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(cc1)C(NC1CC1)=O)=O)c1ccc(cc1)[Cl],0.46,0.41,,0,0,,,,not tested,,racemate,Z1521854576,DR01936
SAR-by-ML,187,C1CN(CC1NC(c1ccc(cc1)C(NC1CC1)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(c1ccc(cc1)C(NC1CC1)=O)=O)c1ccc(cc1)[Cl],0.34,0.3,,0,0,,,,not tested,,racemate,Z1602037382,DR02012
SAR-by-ML,188,C1CC(N(C1)Cc1ccc(cc1)C(NC1CCN(C1)c1ccc(cc1)[Cl])=O)=O,C1CC(N(C1)Cc1ccc(cc1)C(NC1CCN(C1)c1ccc(cc1)[Cl])=O)=O,0.38,0.32,,0,0,,,,not tested,,racemate,Z1602040103,DR01992
SAR-by-ML,189,C1CN(CC1NC(CNC(c1ccc(cc1)F)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(CNC(c1ccc(cc1)F)=O)=O)c1ccc(cc1)[Cl],0.41,0.35,,0,0,,,,not tested,,racemate,Z1602588869,DR01962
SAR-by-ML,190,C1CN(CC1CNC(c1ccc(cc1)C1(CC1)C#N)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(cc1)C1(CC1)C#N)=O)c1ccc(cc1)[Cl],0.43,0.4,,0,0,,,,not tested,,racemate,Z1609557377,DR01993
SAR-by-ML,191,C1CC(COC1)c1ccc(cc1)C(NCC1CCN(C1)c1ccc(cc1)[Cl])=O,C1CC(COC1)c1ccc(cc1)C(NCC1CCN(C1)c1ccc(cc1)[Cl])=O,0.42,0.38,,0,0,,,,not tested,,racemate,Z1629587760,DR01987
SAR-by-ML,192,C1CN(CC1CNC(c1ccc(cc1)OC1CCOC1)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(cc1)OC1CCOC1)=O)c1ccc(cc1)[Cl],0.4,0.38,,0,0,,,,not tested,,racemate,Z1926688637,DR01945
SAR-by-ML,193,C1CN(CC1CNC(N1CC(C1)(c1ccc(cc1)[Cl])O)=O)c1ccc(cc1)F,C1CN(CC1CNC(N1CC(C1)(c1ccc(cc1)[Cl])O)=O)c1ccc(cc1)F,0.45,0.41,,0,0,,,,not tested,,racemate,Z2182424728,DR02002
SAR-by-ML,194,C1CN(CC1CNC(N1CC(C1)(c1ccc(cc1)F)O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(N1CC(C1)(c1ccc(cc1)F)O)=O)c1ccc(cc1)[Cl],0.42,0.38,,0,0,,,,not tested,,racemate,Z2182471412,DR02007
SAR-by-ML,195,C1CN(CC1NC(c1ccc(cc1)C1CCC(N1)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(c1ccc(cc1)C1CCC(N1)=O)=O)c1ccc(cc1)[Cl],0.32,0.27,,0,0,,,,not tested,,racemate,Z2839375428,DR01984
SAR-by-ML,196,C1CN(CC1CNC(c1ccc(cc1)C1(COC1)O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(cc1)C1(COC1)O)=O)c1ccc(cc1)[Cl],0.44,0.39,,0,0,,,,not tested,,racemate,Z3346557425,DR01959
SAR-by-ML,197,C1CN(CC1NC(c1ccc(cc1)C1(COC1)O)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(c1ccc(cc1)C1(COC1)O)=O)c1ccc(cc1)[Cl],0.3,0.28,,0,0,,,,not tested,,racemate,Z3352466955,DR01966
SAR-by-ML,198,C1CC2C(Nc3cc(ccc3N2C1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,C1CC2C(Nc3cc(ccc3N2C1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.39,0.37,,0,0,,,,not tested,,racemate,Z4183609569,DR02018
SAR-by-ML,199,C1CN(CC1O)c1ccc(cc1)C(NCCc1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NCCc1ccc(cc1)[Cl])=O,0.36,0.34,,0,0,,,,not tested,,racemate,Z4302091223,DR01935
SAR-by-ML,200,C1CN(CC1O)c1ccc(cc1)C(NCCOc1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NCCOc1ccc(cc1)[Cl])=O,0.37,0.36,,0,0,,,,not tested,,racemate,Z4302153140,DR02013
SAR-by-ML,201,C1CN(CC1CNC(c1ccc(cc1)N1CCC(C1)O)=O)c1ccc(cc1)F,C1CN(CC1CNC(c1ccc(cc1)N1CCC(C1)O)=O)c1ccc(cc1)F,0.48,0.46,,0,0,,,,not tested,,racemate,Z4302468174,DR01938
SAR-by-ML,202,CC(c1cccc(c1)N1CCCC1)NC(c1ccc(cc1)N1CCC(C1)O)=O,CC(c1cccc(c1)N1CCCC1)NC(c1ccc(cc1)N1CCC(C1)O)=O,0.41,0.39,,0,0,,,,not tested,,racemate,Z4303160200,DR01998
SAR-by-ML,203,C1CC2(C1)CC(c1ccccc1O2)NC(c1ccc(cc1)N1CCC(C1)O)=O,C1CC2(C1)CC(c1ccccc1O2)NC(c1ccc(cc1)N1CCC(C1)O)=O,0.35,0.33,,0,0,,,,not tested,,racemate,Z4303170903,DR01975
SAR-by-ML,204,C1CN(CC1NC(c1ccc(cc1)N1CCC(C1)O)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(c1ccc(cc1)N1CCC(C1)O)=O)c1ccc(cc1)[Cl],0.33,0.3,,0,0,,,,not tested,,racemate,Z4303406212,DR01963
SAR-by-ML,205,C1CN(CC1O)c1ccc(cc1)C(Nc1cccc2CN(Cc12)C1CC1)=O,C1CN(CC1O)c1ccc(cc1)C(Nc1cccc2CN(Cc12)C1CC1)=O,0.26,0.26,,0,0,,,,not tested,,racemate,Z4303413552,DR01985
SAR-by-ML,206,C1CN(CC1O)c1ccc(cc1)C(NCC(=O)OCc1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NCC(=O)OCc1ccc(cc1)[Cl])=O,0.32,0.3,,0,0,,,,not tested,,racemate,Z4303456724,DR02006
SAR-by-ML,207,C1CN(CC1CNC(c1ccc(cc1)N1CCC(C1)O)=O)Cc1ccccc1,C1CN(CC1CNC(c1ccc(cc1)N1CCC(C1)O)=O)Cc1ccccc1,0.4,0.38,,0,0,,,,not tested,,racemate,Z4303684856,DR01968
SAR-by-ML,208,C1CN(CC1O)c1ccc(cc1)C(N1Cc2ccc(cc2C1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(N1Cc2ccc(cc2C1)[Cl])=O,0.32,0.29,,0,0,,,,not tested,,racemate,Z4304007647,DR01955
SAR-by-ML,209,CC1(CCN(C1)C(=O)OC(C)(C)C)NC(c1ccc(cc1)N1CCC(C1)O)=O,CC1(CCN(C1)C(=O)OC(C)(C)C)NC(c1ccc(cc1)N1CCC(C1)O)=O,0.31,0.3,,0,0,,,,not tested,,racemate,Z4304249911,DR02003
SAR-by-ML,210,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1CCO[C@H]1c1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1CCO[C@H]1c1ccc(cc1)[Cl])=O,0.32,0.28,,0,0,,,,not tested,,chiral,Z4304319619,DR02001
SAR-by-ML,211,C1CC2(C1)C[C@H](c1cc(ccc1O2)F)NC(c1ccc(cc1)N1CCC(C1)O)=O,C1CC2(C1)C[C@H](c1cc(ccc1O2)F)NC(c1ccc(cc1)N1CCC(C1)O)=O,0.31,0.29,,0,0,,,,not tested,,chiral,Z4304927967,DR01964
SAR-by-ML,212,C1CN(CC1O)c1ccc(cc1)C(NOCc1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NOCc1ccc(cc1)[Cl])=O,0.33,0.3,,0,0,,,,not tested,,racemate,Z4305730476,DR02010
SAR-by-ML,213,C1CN(CC1CNC(c1cccc(c1)C1(COC1)O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1cccc(c1)C1(COC1)O)=O)c1ccc(cc1)[Cl],0.43,0.4,,0,0,,,,not tested,,racemate,Z4318065475,DR01996
SAR-by-ML,214,C1CN(CC1CNC(C1(CC1)c1ccc(cc1)C(N)=O)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(C1(CC1)c1ccc(cc1)C(N)=O)=O)c1ccc(cc1)[Cl],0.42,0.37,,0,0,,,,not tested,,racemate,Z4348536160,DR02017
SAR-by-ML,215,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1CCN(C2CC2)[C@H]1c1ccccc1)=O,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1CCN(C2CC2)[C@H]1c1ccccc1)=O,0.32,0.27,,0,0,,,,not tested,,chiral,Z4612587179,DR01958
SAR-by-ML,216,C1CN(CC1O)c1ccc(cc1)C(NC1(Cc2ccccc2)COC1)=O,C1CN(CC1O)c1ccc(cc1)C(NC1(Cc2ccccc2)COC1)=O,0.46,0.32,,0,0,,,,not tested,,racemate,Z4640393345,DR01952
SAR-by-ML,217,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1C[C@H]1c1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(N[C@@H]1C[C@H]1c1ccc(cc1)[Cl])=O,0.33,0.28,,0,0,,,,not tested,,chiral,Z4772076085,DR01986
SAR-by-ML,218,C1CCN(C1)c1cccc(c1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CCN(C1)c1cccc(c1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.54,0.5,,0,0,,,,not tested,,,Z7151300541,DR01982
SAR-by-ML,219,C1CCN(C1)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CCN(C1)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.5,0.45,,0,0,,,,not tested,,,Z7151300545,DR01988
SAR-by-ML,220,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1cncc2cnccc12)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1cncc2cnccc12)=O,0.41,0.37,,0,0,,,,not tested,,,Z7151300546,DR01948
SAR-by-ML,221,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)c1ccc(cc1)F)=O,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)c1ccc(cc1)F)=O,0.41,0.37,,0,0,,,,not tested,,racemate,Z7151300547,DR02016
SAR-by-ML,222,C1Cc2cc(ccc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],C1Cc2cc(ccc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],0.48,0.46,,0,0,,,,not tested,,racemate,Z7151300549,DR01981
SAR-by-ML,223,C1CN(CC1C(NC1(COC1)c1ccc(cc1)[Cl])=O)c1ccccc1,C1CN(CC1C(NC1(COC1)c1ccc(cc1)[Cl])=O)c1ccccc1,0.36,0.35,,0,0,,,,not tested,,racemate,Z7151300555,DR01991
SAR-by-ML,224,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)Cc1ccc(cc1)F)=O,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)Cc1ccc(cc1)F)=O,0.4,0.36,,0,0,,,,not tested,,racemate,Z7151300556,DR02014
SAR-by-ML,225,CC1CCN(C1)c1ccc(cc1)C(NCC1(CC1)c1ccc(cc1)F)=O,CC1CCN(C1)c1ccc(cc1)C(NCC1(CC1)c1ccc(cc1)F)=O,0.38,0.36,,0,0,,,,not tested,,racemate,Z7151300557,DR01965
SAR-by-ML,226,Cc1c(C(NC2(COC2)c2ccc(cc2)[Cl])=O)n2ccsc2n1,Cc1c(C(NC2(COC2)c2ccc(cc2)[Cl])=O)n2ccsc2n1,0.47,0.41,,0,0,,,,not tested,,,Z7151300561,DR01989
SAR-by-ML,227,CC1(CC1)c1ccc(cc1)C(NC1CCN(C1)c1ccc(cc1)F)=O,CC1(CC1)c1ccc(cc1)C(NC1CCN(C1)c1ccc(cc1)F)=O,0.36,0.34,,0,0,,,,not tested,,racemate,Z7151300562,DR01994
SAR-by-ML,228,C[C@H](c1ccc2CCCCc2c1)NC(c1ccc(cc1)N1CCC(C1)O)=O,C[C@H](c1ccc2CCCCc2c1)NC(c1ccc(cc1)N1CCC(C1)O)=O,0.38,0.33,,0,0,,,,not tested,,chiral,Z7151300564,DR01990
SAR-by-ML,229,C1CN(CC1NC(c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,C1CN(CC1NC(c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,0.48,0.39,,0,0,,,,not tested,,racemate,Z7151300566,DR01976
SAR-by-ML,230,C1CN(CC1O)c1ccc(cc1)C(Nc1cccc2cnccc12)=O,C1CN(CC1O)c1ccc(cc1)C(Nc1cccc2cnccc12)=O,0.3,0.29,,0,0,,,,not tested,,racemate,Z7151300568,DR01979
SAR-by-ML,231,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)Cc1cccc(c1)F)=O,CC1CCN(C1)c1ccc(cc1)C(NC1(CC1)Cc1cccc(c1)F)=O,0.37,0.35,,0,0,,,,not tested,,racemate,Z7151300569,DR02009
SAR-by-ML,232,CC1CCN(C1)c1ccc(cc1)C(NC1(C)Cc2ccccc2C1)=O,CC1CCN(C1)c1ccc(cc1)C(NC1(C)Cc2ccccc2C1)=O,0.3,0.29,,0,0,,,,not tested,,racemate,Z7151300571,DR01937
SAR-by-ML,233,C1CN(CC1NC(c1ccc2CCc2c1)=O)c1ccc(cc1)[Cl],C1CN(CC1NC(c1ccc2CCc2c1)=O)c1ccc(cc1)[Cl],0.32,0.3,,0,0,,,,not tested,,racemate,Z7151300572,DR01973
SAR-by-ML,234,C1CC1COc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CC1COc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.44,0.4,,0,0,,,,not tested,,,Z7151300576,DR01971
SAR-by-ML,235,C1CC1Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CC1Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.49,0.44,,0,0,,,,not tested,,,Z7151300577,DR01970
SAR-by-ML,236,C1CN(CC1CNC(c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,C1CN(CC1CNC(c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,0.6,0.5,,0,0,,,,not tested,,racemate,Z815403694,DR01960
SAR-by-ML,237,C1CN(CC1CNC(C1(CCOCC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,C1CN(CC1CNC(C1(CCOCC1)c1ccc(cc1)[Cl])=O)c1ccc(cc1)F,0.45,0.41,,0,0,,,,not tested,,racemate,Z817076120,DR01995
SAR-by-ML,238,C1CN(CC1CNC(c1ccc(cc1)F)=O)c1ccc(cc1)[Cl],C1CN(CC1CNC(c1ccc(cc1)F)=O)c1ccc(cc1)[Cl],0.54,0.47,,0,0,,,,not tested,,racemate,Z878851510,DR01950
